ID;LABEL;DICE;JACRD;AUC;KAPPA;RNDIND;ADJRIND;ICCORR;VOLSMTY;MUTINF;HDRFDST;AVGDIST;VARINFO;MAHLNBS;GCOERR;PROBDST;SNSVTY;SPCFTY;PRCISON;FMEASR;ACURCY;FALLOUT;TP;FP;TN;FN;LBLVOL;PRDVOL
blubb;Background;0.841358753394;0.726159849616;0.750107434702;0.782113198873;1.00647406441;0.852553175982;0.507815933847;0.984919135875;0.183897965709;1.4142135623730951;0.1591302713754626;1.44528721928;0.00429454161121558;-0.0404219017606;0.188553629431;0.854241452671;0.645973416732;0.828858845762;0.841358753394;0.784984;0.354026583268;142543;29432;53703;24322;166865.0;171975.0
blubb;Structure;0.666455696203;0.499762695776;0.750107434702;0.782113198873;1.00647406441;0.852553175982;0.507815933847;0.968292380243;0.183897965709;71.50524456289902;0.8023190495789573;1.44528721928;0.012185680696191399;-0.0404219017606;0.500474833808;0.645973416732;0.854241452671;0.688279397629;0.666455696203;0.784984;0.145758547329;53703;24322;142543;29432;83135.0;78025.0
